ID	Source	Change	Target	Predicted Target
Guarani0068	Ha’ekuéra osãmbyhy	ASPECT:IPFV	Ha’ekuéra osãmbyhy hína	Ha’ekuéra osãmbyhy hína
Guarani0069	Ha’ekuéra osãmbyhy	TENSE:PAS_PLU	Ha’ekuéra osãmbyhyva’ekue	Ha’ekuéra osãmbyhyva’ekue
Guarani0070	Ha’ekuéra osãmbyhy	ASPECT:INM	Ha’ekuéra osãmbyhy ikóni	Ha’ekuéra osãmbyhy ikóni
Guarani0071	Ha’ekuéra osãmbyhy	PERSON:1_PL_INC	Ñande ñasãmbyhy	Ñande osãmbyhy
Guarani0072	Ha’ekuéra osãmbyhy	PERSON:1_PL_EXC	Ore rosãmbyhy	Ore osãmbyhy
Guarani0093	Ore norokúita	TYPE:AFF	Ore rokúita	Ore rokúita
Guarani0094	Ore norokúita	PERSON:1_PL_INC	Ñande nojakúita	Ñande norokúita
Guarani0095	Ore norokúita	PERSON:2_PL	Peẽ napekúirita	Nde ndorokúita
Guarani0096	Ore norokúita	PERSON:2_SI	Nde nerekúirita	Nde norokúita
Guarani0097	Ore norokúita	ASPECT:IPFV	Ore norokúita hína	Ore norokúita hína
Guarani0173	Ha’e omokañy kuri pene ñemu potavéva	TYPE:NEG	Ha’e ndomokañýi kuri pene ñemu potavéva	Ha’e ndomokañyirí kuri pene ñemu potavéva
Guarani0174	Ha’e omokañy kuri pene ñemu potavéva	PERSON:2_SI	Nde remokañy kuri pene ñemu potavéva	Nde remokañy kuri pene ñemu potavéva
Guarani0175	Ha’e omokañy kuri pene ñemu potavéva	PERSON:2_PL	Peẽ pemokañy kuri pene ñemu potavéva	Peẽ pemokañy kuri pene ñemu potavéva
Guarani0176	Ha’e omokañy kuri pene ñemu potavéva	PERSON:1_SI	Che amokañy kuri pene ñemu potavéva	Che amokañy kuri pene ñemu potavéva
Guarani0177	Ha’e omokañy kuri pene ñemu potavéva	TENSE:FUT_SIM	Ha’e omokañyta pene ñemu potavéva	Ha’e omokañyta pene ñemu potavéva
Guarani0178	Ha’e omokañy kuri pene ñemu potavéva	ASPECT:IPFV	Ha’e omokañy kuri hína pene ñemu potavéva	Ha’e omokañy kuri hína pene ñemu potavéva
Guarani0167	Ha’e noguerekómi	TYPE:AFF	Ha’e oguerekómi	Ha’e oguerekómi
Guarani0168	Ha’e noguerekómi	TENSE:PAS_REC	Ha’e noguerekói kuri	Ha’e noguerekómikuri
Guarani0169	Ha’e noguerekómi	PERSON:2_SI	Nde nereguerekómi	Nde noguerekómi
Guarani0170	Ha’e noguerekómi	PERSON:1_SI	Che naguerekómi	Che ndoguerekómi
Guarani0171	Ha’e noguerekómi	PERSON:1_PL_INC	Ñande nañaguerekómi	Ñande ndoguerekómi
Guarani0172	Ha’e noguerekómi	TENSE:FUT_SIM	Ha’e noguerekóita	Ha’e noguerekóta
Guarani0244	Ha’e opovyvy kuri	TYPE:NEG	Ha’e ndopovyvýi kuri	Ha’e ndopovyvy kuri
Guarani0245	Ha’e opovyvy kuri	ASPECT:IPFV	Ha’e opovyvy kuri hína	Ha’e opovyvy kuri hína
Guarani0246	Ha’e opovyvy kuri	PERSON:2_SI	Nde repovyvy kuri	Nde repovyvy kuri
Guarani0247	Ha’e opovyvy kuri	PERSON:1_SI	Che apovyvy kuri	Che apovyvy kuri
Guarani0248	Ha’e opovyvy kuri	TENSE:FUT_SIM	Ha’e opovyvyta	Ha’e opovyvyta
Guarani0249	Ha’e opovyvy kuri	TENSE:PAS_PLU	Ha’e opovyvyva’ekue	Ha’e opovyvyva’ekue
Guarani0250	Ha’e opovyvy kuri	TENSE:PAS_IMP	Ha’e opovyvymi	Ha’e opovyvyami
Guarani0210	Peẽ peko’õimi	PERSON:2_SI	Nde reko’õimi	Nde reko’õimi
Guarani0211	Peẽ peko’õimi	PERSON:3_SI	Ha’e oko’õimi	Ha’e peko’õi
Guarani0212	Peẽ peko’õimi	TYPE:NEG	Peẽ napeko’õimi	Peẽ ndoko’õimi
Guarani0213	Peẽ peko’õimi	ASPECT:IPFV	Peẽ peko’õimi hína	Peẽ peko’õihina
Guarani0214	Peẽ peko’õimi	ASPECT:INM	Peẽ peko’õimi ikóni	Peẽ peko’õimi ikóni
Guarani0215	Peẽ peko’õimi	PERSON:1_PL_EXC	Ore roko’õimi	Ore noroko’õimi
Guarani0216	Peẽ peko’õimi	PERSON:1_SI	Che ako’õimi	Che apekõ'ĩmi
Guarani0135	Umi kuaaukahárakuéra oñemongeta kuri	TYPE:NEG	Umi kuaaukahárakuéra noñemongetái kuri	Umi kuaaukahárakuéra ndoñemongeta kuri
Guarani0136	Umi kuaaukahárakuéra oñemongeta kuri	PERSON:3_SI	Pe kuaaukahára oñemongeta kuri	Umi kuaaukahárakuéra oñemongetakuri
Guarani0137	Umi kuaaukahárakuéra oñemongeta kuri	TENSE:FUT_SIM	Umi kuaaukahárakuéra oñemongetáta	Umi kuaaukahárakuéra oñemongetáta
Guarani0138	Umi kuaaukahárakuéra oñemongeta kuri	ASPECT:IPFV	Umi kuaaukahárakuéra oñemongeta kuri hína	Umi kuaaukahárakuéra oñemongeta kuri hína
Guarani0139	Umi kuaaukahárakuéra oñemongeta kuri	TENSE:PAS_IMP	Umi kuaaukahárakuéra oñemongetami	Umi kuaaukahárakuéra oñemongetaími
Guarani0140	Umi kuaaukahárakuéra oñemongeta kuri	ASPECT:INM	Umi kuaaukahárakuéra oñemongeta ikóni kuri	Umi kuaaukahárakuéra oñemongeta ikóni
